Bike Name,Price,Model Year,Mileage,City
Yamaha YBR 125  2020 ,PKR 3.15 lacs,2020,"35,000 km",Karachi
Zongshen 400  2025 ,PKR 9.5 lacs,2025,2 km,Lahore
Kawasaki ZZR-250  2021 ,PKR 4.1 lacs,2021,"8,000 km",Bahawalpur
United US 70  2025 ,PKR 1.05 lacs,2025,"3,500 km",Lahore
Suzuki GS 150 SE  2018 ,PKR 2.6 lacs,2018,"53,000 km",Multan
Suzuki GS 150  2024 ,PKR 4.2 lacs,2024,"7,802 km",Karachi
Benelli TRK 502X  2023 ,PKR 25.5 lacs,2023,"11,000 km",D.G.Khan
Honda CG 125  2021 ,PKR 1.5 lacs,2021,"34,000 km",Lahore
Yamaha YBR 125G  2021 ,PKR 3.05 lacs,2021,"21,000 km",Faisalabad
Honda CG 125  2025 ,PKR 2.2 lacs,2025,"1,272 km",Khanewal
Honda CBR 500R  2015 ,PKR 12 lacs,2015,"30,000 km",Islamabad
Yamaha YBR 125  2022 ,PKR 3.5 lacs,2022,"24,000 km",Islamabad
Super Star 100 cc  2010 ,"PKR 40,000",2010,"2,010 km",Faisalabad
Honda CG 125 Special Edition  2022 ,PKR 1.85 lacs,2022,"17,000 km",Sialkot
United US 70  2024 ,"PKR 80,000",2024,"8,000 km",Chichawatni
Unique UD 70  2017 ,"PKR 55,000",2017,"12,000 km",Karachi
Honda CD 70  2024 ,PKR 1.52 lacs,2024,"2,640 km",Pak pattan sharif
Super Power SP 70  2019 ,"PKR 55,000",2019,"10,000 km",Karachi
Honda CG 125  2024 ,PKR 2.8 lacs,2024,"5,300 km",Rawalpindi
Unique Xtreme UD 70  2016 ,"PKR 55,000",2016,"5,000 km",Karachi
Unique Xtreme UD 70  2021 ,"PKR 70,000",2021,"5,000 km",Karachi
Yamaha YBR 125G  2016 ,PKR 1.85 lacs,2016,"27,000 km",Karachi
Hi Speed CDI SR-70CC EURO-2  2022 ,PKR 3.4 lacs,2022,"10,000 km",Bahawalpur
Honda CD 70  2014 ,"PKR 38,000",2014,"2,014 km",Karachi
Honda CG 125  2019 ,PKR 2.15 lacs,2019,"20,000 km",Lahore
Honda CD 70  2013 ,"PKR 55,000",2013,"30,000 km",Quetta
Honda CG 125 Special Edition  2021 ,PKR 1.9 lacs,2021,"20,000 km",Arifwala
Honda CG 125  2019 ,PKR 1.25 lacs,2019,"50,000 km",Lodhran
Honda CG 125  2019 ,PKR 1.03 lacs,2019,"50,000 km",Lodhran
Honda CD 70  2022 ,PKR 1.22 lacs,2022,"10,540 km",Toba Tek Singh
Crown CR 70 Self Start  2021 ,PKR 1.05 lacs,2021,"25,000 km",Karachi
