Bike Name,Price,Model Year,Mileage,City
Honda CG 125  2018 ,PKR 1.31 lacs,2018,"7,500 km",Karachi
Yamaha YBR 125  2021 ,PKR 35 lacs,2021,"20,521 km",Lahore
Suzuki GR 150  2022 ,PKR 4.25 lacs,2022,"9,000 km",Swatmingora
Honda CD 70  2014 ,"PKR 35,000",2014,"10,000 km",Karachi
Honda CB 125F  2021 ,PKR 3.3 lacs,2021,"20,000 km",Abbottabad
NPTC ATV  2025 ,PKR 2.2 lacs,2025,10 km,Sargodha
Honda CG 125  2021 ,PKR 1.65 lacs,2021,"30,000 km",Karachi
Honda CB 125F  2022 ,PKR 3.05 lacs,2022,"22,000 km",Lahore
Honda CD 70  2014 ,"PKR 92,000",2014,"1,000 km",Lahore
Hi Speed Infinity 150  2022 ,PKR 3 lacs,2022,"26,000 km",Islamabad
Honda CG 125  2022 ,PKR 1.7 lacs,2022,"15,100 km",Multan
Suzuki GR 150  2022 ,PKR 4 lacs,2022,"17,600 km",Faisalabad
Honda CG 125  2019 ,PKR 1.5 lacs,2019,"75,000 km",Umer Kot
Yamaha YZF-R1  2013 ,PKR 33 lacs,2013,"11,000 km",Mirpur A.K.
Hi Speed SR 200  2021 ,PKR 4.05 lacs,2021,"6,000 km",Lahore
Honda CB 150F  2022 ,PKR 3.9 lacs,2022,"21,000 km",Multan
Super Power SP 70  2019 ,"PKR 59,000",2019,"44,000 km",Karachi
Honda CB 150F  2019 ,PKR 2.85 lacs,2019,"48,000 km",Karachi
Honda CG 125  2016 ,PKR 1.15 lacs,2016,"30,000 km",Islamabad
Honda CD 70  2006 ,"PKR 50,000",2006,"20,000 km",Rawalpindi
Honda CG 125 Special Edition  2025 ,PKR 2.97 lacs,2025,1 km,Rawalpindi
Honda CD 70  2025 ,PKR 1.55 lacs,2025,"2,000 km",Depal pur
Honda CD 70  2025 ,PKR 1.58 lacs,2025,"1,700 km",Lahore
Bingo Electric Classic  2024 ,PKR 1 lacs,2024,"40,000 km",Karachi
Suzuki GS-125  2023 ,PKR 3.85 lacs,2023,"15,000 km",Rawalpindi
Derbi STX 150  2017 ,PKR 3.2 lacs,2017,"30,000 km",Lahore
Evee C1 Pro  2025 ,PKR 1.5 lacs,2025,"1,600 km",Lahore
Crown FIT 150 Fighter  2020 ,PKR 2.75 lacs,2020,"9,400 km",Islamabad
Suzuki GSX 125  2024 ,PKR 4.5 lacs,2024,"6,600 km",Islamabad
Super Power Sultan SP 250  2023 ,PKR 4.1 lacs,2023,"25,000 km",Islamabad
Honda CG 125  2022 ,PKR 1.76 lacs,2022,"17,844 km",Karachi
Honda CG 125  2020 ,PKR 1.52 lacs,2020,"25,000 km",Abbottabad
Honda CG 125  2014 ,PKR 1.35 lacs,2014,"90,000 km",Haripur
Honda CG 125  2024 ,PKR 2.4 lacs,2024,"5,000 km",Islamabad
Honda CG 125  2021 ,PKR 1.43 lacs,2021,"2,000 km",Larkana
Suzuki Gixxer 150  2022 ,PKR 7.65 lacs,2022,"2,400 km",Kallar Saddiyian
Super Power Leo 200  2017 ,PKR 2.7 lacs,2017,"11,000 km",Lahore
KEEWAY K-Light   2021 ,PKR 6.2 lacs,2021,"8,000 km",Islamabad
Honda CG 125 Special Edition  2023 ,PKR 2.3 lacs,2023,"7,500 km",Karachi
Honda CG 125  2021 ,PKR 1.6 lacs,2021,"5,000 km",Layyah
Super Power SP 70  2022 ,"PKR 75,000",2022,"4,500 km",Islamabad
Suzuki GS 150  2018 ,PKR 2.8 lacs,2018,"30,000 km",Karachi
Honda CD 70  2023 ,PKR 1.45 lacs,2023,"4,500 km",Karachi
Honda CG 125  2022 ,PKR 1.65 lacs,2022,"23,000 km",Lahore
Honda CG 125  2023 ,PKR 1.72 lacs,2023,"15,000 km",Karachi
Suzuki GS 150 SE  2021 ,PKR 3.25 lacs,2021,"30,000 km",Karachi
Yamaha YBR 125  2022 ,PKR 3.55 lacs,2022,"20,000 km",Rawalpindi
Yamaha YB 125Z   2023 ,PKR 2.3 lacs,2023,"12,000 km",Karachi
Hi Speed Infinity 150  2024 ,PKR 3.4 lacs,2024,"5,300 km",Faisalabad
Honda CG 125  2021 ,PKR 1.43 lacs,2021,"27,000 km",Larkana
Honda Deluxe  2010 ,"PKR 80,000",2010,"2,500 km",Karachi
Honda CG 125  2019 ,PKR 1.45 lacs,2019,"12,351 km",Karachi
Honda CG 125  2020 ,PKR 1.5 lacs,2020,"12,000 km",Karachi
United US 70  2020 ,"PKR 55,000",2020,"5,000 km",Abbottabad
Honda CG 125  2022 ,PKR 1.5 lacs,2022,"282,279 km",Lahore
Yamaha YBR 125  2021 ,PKR 2.99 lacs,2021,"9,900 km",Faisalabad
Honda CD 70  2003 ,"PKR 55,000",2003,"20,000 km",Karachi
Honda CB 150F  2018 ,PKR 2.8 lacs,2018,"40,000 km",Karachi
Unique UD 125  2019 ,"PKR 65,000",2019,"31,500 km",Karachi
Union Star US 70cc  2017 ,"PKR 48,000",2017,"100,000 km",Karachi
Honda CBR 150R  2018 ,PKR 2.65 lacs,2018,"3,000 km",Peshawar
CF MOTO 250CL-X  2021 ,PKR 4.95 lacs,2021,"4,200 km",Lahore
Honda Pridor  2023 ,PKR 1.9 lacs,2023,"9,900 km",Haripur
Honda Pridor  2021 ,PKR 1.7 lacs,2021,"15,000 km",Rawalpindi
Honda CG 125  2024 ,PKR 1.95 lacs,2024,"10,000 km",Arifwala
Suzuki GS 150  2018 ,PKR 2.8 lacs,2018,"30,000 km",Karachi
Yamaha Royale YB 100  2005 ,"PKR 40,000",2005,"50,000 km",Faisalabad
Honda CG 125  2024 ,PKR 2.2 lacs,2024,"4,000 km",Karachi
Yamaha YBR 125  2023 ,PKR 3.5 lacs,2023,"25,000 km",Rawalpindi
Unique UD 70  2018 ,"PKR 55,000",2018,"100,000 km",Karachi
Yamaha YBR 125G  2020 ,PKR 3.15 lacs,2020,"15,616 km",Karachi
Honda CD 70  2022 ,PKR 1.3 lacs,2022,"5,000 km",Tando adam
United US 70  2024 ,"PKR 36,000",2024,"15,000 km",Lahore
Yamaha YBR 125G  2024 ,PKR 4.65 lacs,2024,"12,000 km",Lala musa
Honda CG 125S  2022 ,PKR 1.45 lacs,2022,"20,000 km",Lahore
Road Prince 70 Passion Plus  2019 ,"PKR 65,000",2019,"10,000 km",Faisalabad
Honda CG 125  2024 ,PKR 1.95 lacs,2024,"10,000 km",Arifwala
Honda CG 125  2023 ,PKR 2.1 lacs,2023,"20,000 km",Islamabad
Honda Pridor  2018 ,PKR 1.25 lacs,2018,"49,159 km",Okara
Honda CG 125  2023 ,PKR 2.05 lacs,2023,"13,000 km",Jhelum
Yamaha YBR 125  2024 ,PKR 4 lacs,2024,"2,000 km",Gujranwala
Honda CG 125  2011 ,PKR 1.3 lacs,2011,"10,000 km",Faisalabad
Suzuki GR 150  2019 ,PKR 2.95 lacs,2019,"18,800 km",Lahore
Road Prince Classic 70  2022 ,"PKR 95,000",2022,"8,000 km",Rawalpindi
Honda CG 125  2023 ,PKR 2.1 lacs,2023,"20,000 km",Islamabad
Yamaha YB 125Z-DX  2023 ,PKR 2.7 lacs,2023,"36,000 km",Karachi
Honda CG 125  2023 ,PKR 1.8 lacs,2023,"50,000 km",Mansehra
Honda CG 125  2015 ,"PKR 89,000",2015,"65,688 km",Faisalabad
Yamaha YBR 125  2017 ,PKR 1.85 lacs,2017,"10,000 km",Bahawalpur
Honda CG 125  2021 ,PKR 1.6 lacs,2021,"11,000 km",Chakwal
Road Prince 70 Passion Plus  2018 ,"PKR 50,000",2018,"10,000 km",Faisalabad
Honda CD 70  2022 ,PKR 1.2 lacs,2022,"13,780 km",Lahore
Yamaha YBR 125  2021 ,PKR 3.2 lacs,2021,"15,000 km",Lahore
Honda Pridor  2021 ,PKR 1.5 lacs,2021,"10,000 km",Multan
Union Star 70 Deluxe  2023 ,"PKR 70,000",2023,"10,000 km",Karachi
Honda CG 125  2022 ,PKR 1.7 lacs,2022,"10,000 km",Multan
Super Power SP 70  2021 ,"PKR 53,500",2021,"10,000 km",Karachi
Unique UD 70  2018 ,"PKR 55,000",2018,"5,000 km",Karachi
Honda CD 70  2023 ,PKR 1.25 lacs,2023,"190,000 km",Khanewal
Honda CG 125  2016 ,PKR 1.05 lacs,2016,"999,999 km",Layyah
Yamaha YBR 125  2017 ,PKR 2 lacs,2017,"66,000 km",Dina
Honda CG 125  2022 ,PKR 1.85 lacs,2022,"15,500 km",Rawalpindi
Honda CG 125  2020 ,PKR 2.5 lacs,2020,"2,000 km",Gujranwala
Honda CG 125  2024 ,PKR 2 lacs,2024,"12,345 km",Lahore
Road Prince 70 Passion Plus  2015 ,"PKR 38,000",2015,"8,000 km",Sargodha
Union Star US 70cc  2022 ,"PKR 65,000",2022,"15,000 km",Rawalpindi
United US 70  2025 ,PKR 1 lacs,2025,800 km,Peshawar
Honda CG 125  2024 ,PKR 2.25 lacs,2024,"9,400 km",Narowal
Honda CD 70  2021 ,PKR 1.03 lacs,2021,"10,000 km",Hazro
Honda CG 125  2024 ,PKR 2.4 lacs,2024,"3,300 km",Taxila
Honda Pridor  2013 ,PKR 1 lacs,2013,"20,000 km",Sadiqabad
Super Star CD 70  2022 ,"PKR 67,000",2022,"78,000 km",Karachi
United US 125 Euro II  2016 ,"PKR 62,000",2016,"12,000 km",Karachi
CF MOTO 450MT  2023 ,PKR 26.5 lacs,2023,"2,100 km",Bahawalpur
Suzuki GS-125  2025 ,PKR 4.5 lacs,2025,"7,000 km",Gujranwala
Hi Speed Infinity 150  2022 ,PKR 2.85 lacs,2022,"19,000 km",Islamabad
Honda Pridor  2024 ,PKR 1.91 lacs,2024,"3,800 km",Multan
Road Prince 70 Passion Plus  2020 ,"PKR 48,500",2020,"24,500 km",Lahore
Honda CG 125 Special Edition  2023 ,PKR 2.4 lacs,2023,"3,895 km",Lahore
Honda CG 125 Deluxe  2023 ,PKR 2.04 lacs,2023,"7,000 km",Lahore
Unique UD 70  2020 ,"PKR 65,000",2020,"10,500 km",Karachi
Honda CG 125  2011 ,PKR 1.2 lacs,2011,"10,000 km",Abbottabad
Honda CG 125  2015 ,PKR 1.3 lacs,2015,"5,864 km",Gujranwala
Honda CG 125  2022 ,PKR 1.5 lacs,2022,"38,000 km",Lahore
Honda CD 70  2018 ,"PKR 91,000",2018,"19,000 km",Sargodha
Suzuki GD 110S  2019 ,PKR 1.9 lacs,2019,"10,000 km",Jahaniya
Honda CG 125  2018 ,PKR 1.2 lacs,2018,"13,000 km",Abbottabad
United US 70  2013 ,"PKR 20,000",2013,"20,000 km",Kabirwala
Suzuki GS 150  2022 ,PKR 3.82 lacs,2022,"9,500 km",Lahore
Honda CD 70  2024 ,PKR 1.26 lacs,2024,"2,500 km",Hyderabad
Honda CD 70  2020 ,"PKR 85,000",2020,"10,000 km",Karachi
Union Star US 70cc  2024 ,"PKR 90,000",2024,"4,000 km",Islamabad
Honda CG 125 Special Edition  2023 ,PKR 2.1 lacs,2023,"18,500 km",Chichawatni
Unique Xtreme UD 70  2021 ,"PKR 67,000",2021,"10,000 km",Karachi
Unique UD 70  2021 ,"PKR 65,000",2021,"10,000 km",Karachi
Yamaha YBR 125  2017 ,PKR 2 lacs,2017,"20,000 km",Sargodha
Honda CB 125F  2020 ,PKR 3.15 lacs,2020,"20,000 km",Rawalpindi
Suzuki GD 110S  2025 ,PKR 3.6 lacs,2025,"2,400 km",Faisalabad
Honda CG 125  2023 ,PKR 2.3 lacs,2023,"16,000 km",Lahore
Super Power PK 150 Archi   2019 ,PKR 1.9 lacs,2019,"23,000 km",Karachi
Suzuki Hayabusa  2017 ,Call,2017,"5,080 km",Lahore
Honda CD-100  2025 ,PKR 1.65 lacs,2025,"1,050 km",Lahore
Hi Speed CDI SR-70CC EURO-2  2020 ,"PKR 58,000",2020,"10,000 km",Rawalpindi
Honda CG 125  2022 ,PKR 1.65 lacs,2022,"24,000 km",Lahore
Honda CG 125  2023 ,PKR 1.9 lacs,2023,"26,000 km",Lahore
Honda CD 70  2022 ,PKR 1.1 lacs,2022,"20,000 km",Sialkot
Honda CG 125  2023 ,PKR 1.72 lacs,2023,"10,000 km",Karachi
Honda CG 125  2004 ,PKR 2.1 lacs,2004,"2,000 km",Lahore
Road Prince 70 Passion Plus  2010 ,"PKR 26,000",2010,"50,000 km",Lahore
Honda CG 125  2025 ,PKR 2.45 lacs,2025,"1,400 km",Rawalpindi
Suzuki Sprinter  2012 ,"PKR 85,000",2012,"58,000 km",Faisalabad
Honda CD 70  1995 ,"PKR 27,000",1995,"20,000 km",Karachi
Road Prince 70 Passion Plus  2019 ,"PKR 64,000",2019,"36,000 km",Lahore
Suzuki GS-125  2023 ,PKR 4.5 lacs,2023,"6,000 km",Taxila
Pakzon Electric PE-70D  2023 ,PKR 1.15 lacs,2023,35 km,Karachi
Suzuki GS 150  2023 ,PKR 3.35 lacs,2023,"5,000 km",Lahore
Metro MR 70  2022 ,"PKR 65,000",2022,"30,000 km",Taxila
Yamaha YB 125Z-DX  2024 ,PKR 4.25 lacs,2024,"10,000 km",Jhelum
Unique UD 125  2019 ,"PKR 75,000",2019,"10,000 km",Karachi
Honda CD 70  2022 ,PKR 1.17 lacs,2022,"25,000 km",Lahore
Honda CG 125S GOLD  2025 ,PKR 3 lacs,2025,20 km,Sarai alamgir
Honda CD 70  1984 ,"PKR 55,000",1984,"60,000 km",Karachi
Honda CG 125  2011 ,PKR 1.3 lacs,2011,"10,000 km",Muzaffarabad
Honda Other  2024 ,PKR 2.35 lacs,2024,940 km,Islamabad
Honda CG 125  2018 ,PKR 1.22 lacs,2018,"10,000 km",Karachi
Honda CD 70  2021 ,PKR 1.1 lacs,2021,"100,000 km",Taxila
United US Scooty 100  2020 ,PKR 1.55 lacs,2020,"6,000 km",Lahore
Yamaha YBR 125  2020 ,PKR 2.45 lacs,2020,"17,588 km",Multan
Suzuki GD 110S  2020 ,PKR 2.35 lacs,2020,"25,000 km",Karachi
Honda CG 125  2021 ,PKR 1.45 lacs,2021,"50,000 km",Rahim Yar Khan
Honda CG 125  2021 ,PKR 1.8 lacs,2021,"16,000 km",Gujranwala
Yamaha Royale YB 100  1999 ,"PKR 22,500",1999,5 km,Rawalpindi
Honda CD 100 Euro 2  2010 ,"PKR 95,000",2010,"34,000 km",Peshawar
Honda CD 70  2024 ,PKR 1.5 lacs,2024,"8,377 km",Karachi
Lifan KPR 200  2020 ,PKR 6.05 lacs,2020,"18,000 km",D.G.Khan
Honda CG 125 Special Edition  2019 ,PKR 1.62 lacs,2019,"10,000 km",Bahawalnagar
Benelli TNT 150i  2019 ,PKR 4.9 lacs,2019,"38,000 km",Sargodha
Yamaha YBR 125  2018 ,PKR 2.2 lacs,2018,"457,786 km",Multan
Suzuki GD 110S  2015 ,PKR 1.6 lacs,2015,"48,000 km",Gujranwala
Union Star US 70cc  2020 ,"PKR 60,000",2020,"30,000 km",Karachi
Suzuki GD 110S  2021 ,PKR 2.85 lacs,2021,"230,000 km",Khanewal
Suzuki GS 150  2018 ,PKR 2.5 lacs,2018,"31,000 km",Lahore
Road Prince 125  2021 ,"PKR 72,500",2021,"8,500 km",Lahore
Super Asia SA 70  2017 ,"PKR 40,000",2017,"10,000 km",Lahore
Honda CB 150F  2024 ,PKR 4.55 lacs,2024,"4,800 km",Lahore
Benelli TRK 702X  2025 ,PKR 36.5 lacs,2025,50 km,Gujranwala
Yamaha YBR 125  2000 ,"PKR 90,000",2000,"16,887 km",Rahim Yar Khan
Yamaha YBR 125G  2020 ,PKR 3.15 lacs,2020,"22,000 km",Rawalpindi
Honda CG 125  2024 ,PKR 2.25 lacs,2024,"5,800 km",Lahore
Honda CG 125  2023 ,PKR 2 lacs,2023,"8,900 km",Gujranwala
Road Prince RX3  2018 ,PKR 7.5 lacs,2018,"25,000 km",Rawalpindi
Honda CD 70  2014 ,"PKR 64,000",2014,"50,000 km",Arifwala
Honda CG 125  2020 ,PKR 1.5 lacs,2020,"123,456 km",Muzaffarabad
Honda CG 125  2022 ,PKR 1.65 lacs,2022,"15,000 km",Lahore
Yamaha YBR 125G  2021 ,PKR 2.8 lacs,2021,"10,000 km",Hyderabad
Honda CD 70  2024 ,PKR 1.42 lacs,2024,"7,000 km",Rahim Yar Khan
Honda CG 125  2010 ,"PKR 90,000",2010,"37,000 km",Mian Wali
Honda CD 70  2024 ,PKR 1.3 lacs,2024,"11,379 km",Lahore
Honda CD 70  2025 ,PKR 1.56 lacs,2025,"2,900 km",Multan
Honda Pridor  2016 ,"PKR 75,000",2016,"10,549 km",Faisalabad
United US 70  2021 ,"PKR 43,800",2021,"10,000 km",Okara
Yamaha YBR 125G  2024 ,PKR 4.25 lacs,2024,"2,000 km",Karachi
Derbi ETX 150  2018 ,PKR 3.75 lacs,2018,"18,000 km",Karachi
Chinese Bikes OW R3 300cc  2018 ,PKR 5.25 lacs,2018,"10,000 km",Karachi
Chinese Bikes OW Ninja 400cc  2021 ,PKR 8 lacs,2021,"10,000 km",Karachi
Chinese Bikes Other  2020 ,PKR 5.5 lacs,2020,"10,000 km",Karachi
KEEWAY K-Light   2021 ,PKR 7.5 lacs,2021,"5,000 km",Karachi
Hi Speed Cyclone 250  2025 ,PKR 7.75 lacs,2025,100 km,Karachi
Pak Hero RF 70  2015 ,"PKR 40,000",2015,"5,000 km",Rawalpindi
Suzuki GR 150  2021 ,PKR 4.25 lacs,2021,"15,200 km",Karachi
Honda CD 70  1987 ,"PKR 28,500",1987,"123,456 km",Karachi
Honda CD 70  2022 ,PKR 1.15 lacs,2022,"17,000 km",Lahore
Yamaha Dhoom YD-70  2012 ,"PKR 54,000",2012,"70,000 km",Faisalabad
Honda CD 70  2022 ,PKR 1.2 lacs,2022,"15,000 km",Lahore
United US 125 Euro II  2017 ,"PKR 68,000",2017,"30,000 km",Karachi
Unique Xtreme UD 70  2020 ,"PKR 60,000",2020,"20,000 km",Karachi
Chinese Bikes 70  2009 ,"PKR 35,000",2009,"10,000 km",Mandi bahauddin
Honda CB 125F  2025 ,PKR 3.8 lacs,2025,"3,900 km",Karachi
Honda CD 70  2020 ,"PKR 55,000",2020,"1,234 km",Karachi
Harley Davidson Tri Glide Ultra Classic  2025 ,PKR 16.5 lacs,2025,35 km,Rahim Yar Khan
Honda CG 125  2018 ,PKR 1.1 lacs,2018,"5,550 km",Karachi
Super Power SP 70  2017 ,"PKR 57,500",2017,"100,000 km",Karachi
Union Star US 70cc  2020 ,"PKR 70,000",2020,"10,500 km",Islamabad
Hi Speed CDI SR-70CC EURO-2  2025 ,"PKR 95,000",2025,"50,000 km",Rawalpindi
Unique Xtreme UD 70  2014 ,"PKR 40,000",2014,"10,000 km",Karachi
Honda CG 125 Special Edition  2024 ,PKR 2.7 lacs,2024,"1,650 km",Rawalpindi
Yamaha YBR 125  2025 ,PKR 3.6 lacs,2025,"3,600 km",Gujranwala
Pak Hero RF 70  2010 ,"PKR 55,000",2010,"50,000 km",Abbottabad
Honda Pridor  2021 ,PKR 1.5 lacs,2021,"24,000 km",Chiniot
Honda CG 125 Special Edition  2021 ,PKR 2.1 lacs,2021,"65,000 km",Rawalpindi
Benelli TNT 600i  2021 ,PKR 30 lacs,2021,"2,800 km",Karachi
Pak Hero RF 70  2003 ,"PKR 33,000",2003,"1,999 km",Karachi
Honda CG 125  2018 ,PKR 1.38 lacs,2018,"53,000 km",Khushab
Honda CB 150F  2022 ,PKR 3.85 lacs,2022,"3,000 km",Rawalpindi
Honda CG 125  2018 ,PKR 1.45 lacs,2018,"30,000 km",Karachi
Honda CB 150F  2022 ,PKR 3.65 lacs,2022,"13,700 km",Jhang
Suzuki GS 150  2020 ,PKR 2.85 lacs,2020,"55,000 km",Taxila
Yamaha Dhoom YD-70  2010 ,"PKR 42,000",2010,"50,000 km",Faisalabad
United US 70  2022 ,"PKR 60,000",2022,"7,000 km",Lahore
Yamaha YBR 125G  2021 ,PKR 2.95 lacs,2021,"50,000 km",Karachi
Honda CG 125  2024 ,PKR 2.75 lacs,2024,"1,600 km",Rawalpindi
Yamaha Dhoom YD-70  2024 ,"PKR 90,000",2024,"5,000 km",Karachi
Honda CD 70  2018 ,"PKR 92,000",2018,"21,000 km",Hyderabad
Honda CD 70  2020 ,"PKR 92,000",2020,50 km,Lahore
Suzuki Gixxer 150  2022 ,PKR 7 lacs,2022,"6,500 km",Hyderabad
Road Prince Other  2022 ,"PKR 52,000",2022,"5,000 km",Lahore
Honda CG 125  2023 ,PKR 1.75 lacs,2023,"13,600 km",Jhang
Suzuki GS 150  2022 ,PKR 3.6 lacs,2022,"18,000 km",Karachi
Hi Speed CDI SR-70CC EURO-2  2021 ,"PKR 60,000",2021,"10,000 km",Rawalpindi
Honda CG 125  2017 ,PKR 1.5 lacs,2017,"1,000 km",Karachi
Honda CG 125  2024 ,PKR 2.8 lacs,2024,"7,908 km",Lahore
Kawasaki Ninja H2R  2025 ,PKR 6.7 lacs,2025,112 km,Lahore
Super Star 125cc  2003 ,PKR 2.29 lacs,2003,"7,866 km",Islamabad
Hi Speed CDI SR-70CC EURO-2  2011 ,"PKR 41,000",2011,"10,000 km",Sargodha
Honda CG 125 Special Edition  2024 ,PKR 2.65 lacs,2024,"12,000 km",Faisalabad
Honda CG 125 Special Edition  2024 ,PKR 2.67 lacs,2024,"5,400 km",Karachi
Honda CD 70  2017 ,PKR 1 lacs,2017,"100,000 km",Lahore
Honda CG 125  2016 ,"PKR 83,000",2016,"26,835 km",Multan
Union Star US 70cc  2016 ,"PKR 40,000",2016,"10,000 km",Rawalpindi
United US 100  2023 ,"PKR 90,000",2023,"4,200 km",Wazirabad
Honda CD 70  2021 ,PKR 1.25 lacs,2021,"50,000 km",Peshawar
Honda CG 125  2022 ,PKR 2 lacs,2022,"23,000 km",Muzaffarabad
Union Star US 70cc  2024 ,"PKR 87,000",2024,"8,000 km",Karachi
Honda CG 125  2025 ,PKR 2.2 lacs,2025,"3,200 km",Dera ismail khan
Vlektra Bolt   2024 ,PKR 4.5 lacs,2024,"12,000 km",Karachi
Honda CG 125  2021 ,PKR 1.75 lacs,2021,"10,000 km",Islamabad
Crown CRLF 70  2021 ,"PKR 62,000",2021,"20,000 km",Wah cantt
Union Star US 70cc  2022 ,"PKR 68,000",2022,"5,000 km",Karachi
Chinese Bikes Other  2003 ,PKR 1.4 lacs,2003,"5,000 km",Karachi
Unique Xtreme UD 70  2022 ,"PKR 60,000",2022,"50,000 km",Karachi
Yamaha YBR 125  2021 ,PKR 3 lacs,2021,"25,500 km",Lahore
Honda CD 70  2023 ,PKR 1.22 lacs,2023,"7,350 km",Faisalabad
Honda CG 125  2021 ,PKR 1.5 lacs,2021,"30,000 km",Multan
Road Prince Other  2025 ,"PKR 97,000",2025,"1,500 km",Lahore
Honda CD 70  2022 ,PKR 1.28 lacs,2022,"18,540 km",Taxila
United US 70  2012 ,"PKR 42,000",2012,"23,000 km",Rawalpindi
Super Power PK 150 Archi   2014 ,"PKR 60,000",2014,"123,456 km",Burewala
Honda CD 70  2020 ,PKR 1.5 lacs,2020,"150,000 km",Islamabad
Honda CG 125  2015 ,PKR 1.07 lacs,2015,"76,000 km",Islamabad
Honda CG 125  2023 ,PKR 1.95 lacs,2023,"22,000 km",Lahore
United US 70  2016 ,"PKR 55,000",2016,"10,000 km",Peshawar
Honda CD 70  2004 ,"PKR 40,000",2004,3 km,Nowshera
Road Prince 150 Wego  2017 ,PKR 2.1 lacs,2017,"15,000 km",Karachi
Ravi Piaggio Storm 125  2015 ,"PKR 90,000",2015,"6,666 km",Kala bagh
Honda CG 125  2014 ,"PKR 97,000",2014,"32,000 km",Lahore
Honda CG 125  2024 ,PKR 2.29 lacs,2024,"8,000 km",Haripur
United US 70  2020 ,"PKR 53,000",2020,"10,000 km",Rawalpindi
Honda CD 70  2023 ,PKR 1.29 lacs,2023,"2,000 km",Karachi
Honda CG 125  2021 ,PKR 1.78 lacs,2021,"13,000 km",Islamabad
ZXMCO ZX 70 City Rider  2021 ,"PKR 65,000",2021,500 km,Peshawar
Honda CD 70  2012 ,"PKR 69,000",2012,"10,000 km",Karachi
Honda CG 125  2019 ,PKR 1.7 lacs,2019,"10,000 km",Islamabad
Yamaha YBR 125G  2019 ,PKR 2.6 lacs,2019,"50,000 km",Buner
Super Star CD 70  2017 ,"PKR 45,500",2017,"10,000 km",Karachi
Yamaha YBR 125G  2024 ,PKR 4.65 lacs,2024,"12,000 km",Lala musa
Honda CG 125  2021 ,PKR 1.58 lacs,2021,"20,000 km",Mirpur A.K.
United US 70  2022 ,"PKR 79,000",2022,"5,000 km",Mansehra
BMW S1000RR  2018 ,PKR 5.5 lacs,2018,"10,000 km",Lahore
Unique Xtreme UD 70  2022 ,"PKR 88,500",2022,"20,000 km",Nowshera
Honda CG 125  2020 ,PKR 1.45 lacs,2020,"60,000 km",Karachi
Road Prince 125 Twister  2023 ,PKR 1.9 lacs,2023,"30,000 km",Rawalpindi
Hi Speed CDI SR-70CC EURO-2  2020 ,"PKR 53,000",2020,"10,000 km",Rawalpindi
Super Power SP 70  2014 ,"PKR 40,000",2014,"5,000 km",Karachi
Honda CG 125  2015 ,PKR 1.35 lacs,2015,"123,456 km",Abbottabad
Yamaha YBR 125  2021 ,PKR 3.33 lacs,2021,"20,400 km",Lahore
Honda CG 125  2022 ,PKR 1.4 lacs,2022,"7,000 km",Wah cantt
Honda CG 125  2021 ,PKR 1.5 lacs,2021,"26,243 km",Faisalabad
Honda CD 70  2022 ,PKR 1.22 lacs,2022,"21,000 km",Arifwala
Honda CD 100 Euro 2  2009 ,"PKR 49,000",2009,"50,000 km",Hyderabad
Honda CD 70  2025 ,PKR 1.73 lacs,2025,59 km,Islamabad
Honda CG 125  2017 ,"PKR 97,000",2017,"50,000 km",Karachi
Super Star CD 70  2025 ,PKR 1.1 lacs,2025,1 km,Multan
Super Power SP 70  2017 ,"PKR 48,000",2017,"100,000 km",Islamabad
BMW R 1250 GS Adventure  2020 ,PKR 1 crore,2020,"16,000 km",Karachi
Ghani Gi 70 Self Start  2019 ,"PKR 94,999",2019,"21,810 km",Lahore
Honda CG 125  2014 ,PKR 1.15 lacs,2014,"25,000 km",Faisalabad
DYL YB 100   1984 ,"PKR 95,000",1984,"60,000 km",Karachi
Honda Pridor  2021 ,PKR 1.9 lacs,2021,"10,000 km",Pak pattan sharif
Honda CD 70  2025 ,PKR 1.42 lacs,2025,"1,500 km",Shikar pur
Honda CG 125  2021 ,PKR 1.3 lacs,2021,"100,000 km",Lahore
Honda CD 70  2016 ,"PKR 90,000",2016,"30,000 km",Bahawalpur
Honda CG 125  2025 ,PKR 2.25 lacs,2025,"2,500 km",Sahiwal
Honda CG 125  2023 ,PKR 1.62 lacs,2023,"5,706 km",Lahore
Unique Xtreme UD 70  2025 ,PKR 1.18 lacs,2025,50 km,Karachi
Honda CD-100  2008 ,"PKR 70,000",2008,"50,000 km",Islamabad
Honda CD 70  2022 ,PKR 1.05 lacs,2022,"22,000 km",Okara
Suzuki GR 150  2021 ,PKR 4.2 lacs,2021,"24,000 km",Lahore
Yamaha YD-100 Junoon  2008 ,"PKR 80,000",2008,"30,000 km",Lahore
Super Power SP 70  2015 ,"PKR 40,000",2015,"5,000 km",Karachi
Yamaha YB 125Z-DX  2022 ,PKR 3.35 lacs,2022,"13,000 km",Karachi
Honda CG 125  2020 ,PKR 1.6 lacs,2020,"8,000 km",Rawalpindi
Ravi Piaggio Storm 125  2013 ,PKR 1.38 lacs,2013,"111,136 km",Rawalpindi
Suzuki GD 110S  2024 ,PKR 3.4 lacs,2024,"10,009 km",Karachi
QINGQI Electric bike sporty  2025 ,PKR 1.82 lacs,2025,"2,000 km",Sara-E-Alamgir
United US 70  2022 ,"PKR 85,000",2022,"12,795 km",Islamabad
